Place_of_residence_partner_man,Place_of_birth_partner_man,Age_partner_man,Monthly_income_partner_man_weight,Occupation_partner_man,Place_of_birth_partner_woman,Age_partner_woman,Place_of_residence_partner_woman,Occupation_partner_woman,Monthly_income_partner_woman_weight,Level_of_education_partner_man,Level_of_education_partner_woman,Custody
XALAPA-ENRIQUEZ,ALTOTONGA,23,5500,EMPLOYEE,XALAPA-ENRIQUEZ,22,XALAPA-ENRIQUEZ,EMPLOYEE,1950,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,TEPEYAHUALCO,44,39000,BARBER,ALTOTONGA,43,XALAPA-ENRIQUEZ,HOUSEWIFE,4769,PRIMARY,PRIMARY,MOTHER
VALLARTA PORT,MARTINEZ DE LA TORRE,31,6800,LIC. IN EDUCATION,TUXTLA GUTIERREZ,76,HUATUSCO,MUSIC TEACHER,12500,WITHOUT SCHOOLING,PREPARATORY,MOTHER
CONSOLAPAN,WEST BEND,63,143600,INDUSTRIAL,MOZOMBOA,40,CHILTOYAC,BIOLOGICAL PHARMACEUTICAL CHEMISTRY,8300,PREPARATORY,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,20000,ATTORNEY,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,TEACHER,1440,PROFESSIONAL,PROFESSIONAL,MOTHER
COVE,THE FISHES,57,3050,PRIVATE OFFICER,VERACRUZ,47,PARIS,VOLUNTEER PROMOTER,8400,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,COYOACAN,37,12000,EMPLOYEE,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,EDUCATOR,6000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,9000,EMPLOYEE,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,7500,CONTRACTOR,XALAPA-ENRIQUEZ,23,XALAPA-ENRIQUEZ,BUSINESSMAN,3000,PROFESSIONAL,HIGH SCHOOL,DAD
CHOLULA,PAPANTLA,91,14890,FRAME,THE OAKS,44,PUEBLA,PUBLIC SINGER,120000,OTHER,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,3000,EMPLOYEE,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,HOUSEWIFE,4815,PROFESSIONAL,HIGH SCHOOL,MOTHER
UNIÓN VENUSTIANO CARRANZA,CERRO GORDO,78,400,TRAILER,THE CROSSES,49,TEMPOAL,PUERICULTUR,6800,PROFESSIONAL,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,28,75000,STUDENT,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,EMPLOYEE,60000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,8000,MUSICIAN,XALAPA-ENRIQUEZ,31,XALAPA-ENRIQUEZ,BUSINESSMAN,3000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,3000,ARCHITECT,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,PUBLIC ACCOUNTANT,3000,PROFESSIONAL,PROFESSIONAL,MOTHER
RAFAEL LUCIO,TEJOCOTAL,59,8600,Professional,GOOD VIEW,27,VILLAFLORES,PREPARATORY,19500,OTHER,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,3000,EMPLOYEE,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,EMPLOYEE,43000,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,OTATITLAN,37,3500,EMPLOYEE,ALVARADO,35,XALAPA-ENRIQUEZ,EMPLOYEE,1400,PREPARATORY,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,8500,EMPLOYEE,TEPIC,28,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PROFESSIONAL,PROFESSIONAL,DAD
TECOLUTILLA,THE PIETY,30,8200,TURNER,SAN PEDRO,73,AZCAPOTZALCO,LAWYER,10500,PRIMARY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,MARTINEZ DE LA TORRE,37,4000,EMPLOYEE,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,HOUSEWIFE,200000,PREPARATORY,HIGH SCHOOL,DAD
COATEPEC,COATEPEC,39,2600,EMPLOYEE,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,TEACHER,5.5,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,21,800,EMPLOYEE,XALAPA-ENRIQUEZ,21,XALAPA-ENRIQUEZ,BUSINESSMAN,12000,PRIMARY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,2600,EMPLOYEE,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,EMPLOYEE,1500,HIGH SCHOOL,PREPARATORY,MOTHER
COMMITTEE,THE ORDUÑA,69,1250,POSTAL EMPLOYEE,PLAN OF THE HAGES,64,THE SALMORAL,ANALYST,65000,PRIMARY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,ORIZABA,42,14000,TEACHER,COATEPEC,33,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PREPARATORY,OTHER
ACCEPT,ZACATAL,69,3700,ING. CHEMICAL,SANTA CATALINA,19,BANDERILLA,RADIO PRODUCER,5400,PRIMARY,WITHOUT SCHOOLING,DAD
REEDBED,CANCUN,21,19000,TECHNICAL,COWBOY SLOPE,75,THE BOY,LIC. IN RIGHT,8200,WITHOUT SCHOOLING,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,4000,EMPLOYEE,TECAMACHALCO,35,XALAPA-ENRIQUEZ,HOME DUTIES,9100,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,6000,TEACHER,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,TEACHER,8000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,25,3000,EMPLOYEE,XALAPA-ENRIQUEZ,23,XALAPA-ENRIQUEZ,HOME DUTIES,13569,PROFESSIONAL,PREPARATORY,DAD
LION,FEDERAL DISTRICT,42,26000,EMPLOYEE,GUADALAJARA,42,XALAPA-ENRIQUEZ,PROFESSOR,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
GRILLA DEL MONTE,THE MODEL,19,2800,SOLDIER RAZO,THE JICARO,25,COATZACOALCOS,ASSISTANT,500,PRIMARY,PRIMARY,OTHER
CALETA DE CAMPOS,OLD TOWN,51,6228,SERIGRAPHER,Chives,59,WILLISTON PARK,PUBLICIST,3200,PREPARATORY,OTHER,MOTHER
COSTA RICA,THE CAMELIA,62,1300,POSTGRADUATE STUDENT,XIHUITLAN,21,PERSEVERANCE,DRIVER,12000,PREPARATORY,OTHER,OTHER
COSTA RICA,IGNACIO ALLENDE,49,215000,MANEUVER,PACHUCA,39,NICOLAS WHITE,TEACHER,9000,PREPARATORY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,MISANTLA,40,7000,EMPLOYEE,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,EMPLOYEE,10000,PREPARATORY,PROFESSIONAL,OTHER
THE MILLS,YECUATLA,43,5600,CIVIL SERVANT,QUECHULAC,63,ALVARO OBREGON,LAUDERA,3600,OTHER,PREPARATORY,DAD
BANDERILLA,XALAPA - ENRIQUEZ,34,8300,EMPLOYEE,THE MONERA,33,XALAPA-ENRIQUEZ,EMPLOYEE,1800,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,3000,EMPLOYEE,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,EMPLOYEE,3000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,ZOMELAHUACAN,45,4000,ALBAÑIL,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,EMPLOYEE,1600,PRIMARY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,6500,TEACHER,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,TEACHER,6500,PROFESSIONAL,PROFESSIONAL,DAD
XOLOXTLA,TLAYACAPAN,60,4000,PENSIONER,CHACALAPA,55,VALENCIA,CHEMISTRY,10800,HIGH SCHOOL,PROFESSIONAL,OTHER
SAN ROMAN,TEPETLAXCO,65,1843,BUSINESSMAN,LOMAS VIRREYES,22,VILORIA,SUPERVISOR,13500,HIGH SCHOOL,PRIMARY,OTHER
XALAPA-ENRIQUEZ,ACAYUCAN,25,10000,EMPLOYEE,XALAPA-ENRIQUEZ,25,XALAPA-ENRIQUEZ,TEACHER,7000,PROFESSIONAL,PROFESSIONAL,DAD
MEDELLIN DE BRAVO,SAN LUIS DE LA PAZ,74,84000,FAMILY DOCTOR,ACAYUCAN,22,CARMEN CITY,RADIO PRODUCER,7300,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,WHITE LAND,40,900,TEACHER,BUT,31,XALAPA-ENRIQUEZ,DANCER,2500,PROFESSIONAL,PROFESSIONAL,MOTHER
TLILAPAN,QUERETARO,22,5300,ANNOUNCER,TEPEJIL DEL RIO,27,CANCUN,RADIOLOGIST,3700,HIGH SCHOOL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,PAPANTLA,56,9996.5,DOCTOR,THE BEAMS,47,XALAPA-ENRIQUEZ,DOCTOR,4826,PROFESSIONAL,PROFESSIONAL,DAD
WALNUTS,SPARTACUS,62,1350,GRADUATE,TABASCO,46,COLIMA,COSMETOLOGY,3200,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,MERIDA,26,4000,EMPLOYEE,COATZACOALCOS,24,XALAPA-ENRIQUEZ,STUDENT,850,PROFESSIONAL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,SAN JUAN PASS,47,1230,EMPLOYEE,SAN JUAN PASS,40,XALAPA-ENRIQUEZ,HOME DUTIES,10400,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,52,4000,EMPLOYEE,VILLANUEVA,48,XALAPA-ENRIQUEZ,EMPLOYEE,17000,PREPARATORY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,52,1000,DRIVER,XALAPA-ENRIQUEZ,50,XALAPA-ENRIQUEZ,HOME DUTIES,900,PRIMARY,PREPARATORY,MOTHER
PUNTILLA ALDAMA,PLAN OF THE FIG TREE,70,10679,COMMERCIAL,XALAPAEL MODEL,50,THE ESTANZUELA,RESTAURANT,7648,PRIMARY,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,62,1025,RETIRED,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,EMPLOYEE,9800,PROFESSIONAL,PROFESSIONAL,MOTHER
THE DOWN,JUAN MARCOA,29,8600,ING. CHEMICAL,COLONIA SAN ANGEL,84,WATER SAW,PROMOTION GIRL,27000,OTHER,OTHER,MOTHER
PILETS,SONORA,66,1700,SURGEON,CHICLAYO,43,SAN JUAN DEL RIO,PENSIONED,7000,PRIMARY,PROFESSIONAL,MOTHER
THE ESTANZUELA,THE HILLS,23,22000,CONCESSIONAIRE,TEPEYAHUALCO,30,BLACK STONES,COMMUNICOLOGY,2800,WITHOUT SCHOOLING,OTHER,OTHER
UNIÓN VENUSTIANO CARRANZA,JILOTEPEC,78,12500,RANCHER,TLATLAUQUITEPEC,32,REEDBED,ING. CIVIL,23000,PROFESSIONAL,PROFESSIONAL,MOTHER
TLALMANALCO,OLD TOWN,47,14890,VET,TLALIXCOYAN,51,GUTIERREZ ZAMORA,BODY THERAPIST,8500,OTHER,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,PILETS,30,5000,EMPLOYEE,EBONY,27,XALAPA-ENRIQUEZ,HOME DUTIES,31000,PREPARATORY,PREPARATORY,MOTHER
TONAYAN,DAWN,21,26000,ANNOUNCER,ACAYUCAN,34,FLAT,PHOTOGRAPHER,800,HIGH SCHOOL,OTHER,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,27,72000,KNIGHT,XALAPA-ENRIQUEZ,26,XALAPA-ENRIQUEZ,TEACHER,300,PRIMARY,PROFESSIONAL,MOTHER
COATZACOALCOS,GUTIERREZ ZAMORA,74,9246,SUPERVISOR,WHITE FOAM,43,THE OLD ONE,PUBLIC ACCOUNTANT,708652,PRIMARY,HIGH SCHOOL,OTHER
COSAMALOAPAN,SALINA CRUZ,29,9500,DOCTOR,XALAPA-ENRIQUEZ,24,XALAPA-ENRIQUEZ,NURSE,10000,PROFESSIONAL,PROFESSIONAL,MOTHER
THE FISHES,THE FISHES,61,5300,FARMER,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,TEACHER,8000,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,10000,EMPLOYEE,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,EMPLOYEE,14000,OTHER,OTHER,MOTHER
XALAPA-ENRIQUEZ,TUXPAN,34,9000,EMPLOYEE,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,EMPLOYEE,46000,PREPARATORY,WITHOUT SCHOOLING,MOTHER
VERACRUZ,SAYULA,31,1400,TRAILER,TONAYAN,47,CEMPOALA,ASSISTANT,5200,OTHER,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,39,2200,EMPLOYEE,MIAHUATLAN,40,XALAPA-ENRIQUEZ,HOME DUTIES,1700,PRIMARY,PRIMARY,DAD
ANTON LIZARDO,ACTOPAN,56,2240,GRAPHIC DESIGNER,MEXICO,58,WHITE LAND,MODEST,23000,PREPARATORY,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,6000,EMPLOYEE,ROME,29,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PROFESSIONAL,OTHER
BENITO JUAREZ,XALAPA - ENRIQUEZ,41,1530,EMPLOYEE,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,EMPLOYEE,8000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,22,6500,EMPLOYEE,XALAPA-ENRIQUEZ,21,XALAPA-ENRIQUEZ,STUDENT,4700,PREPARATORY,PREPARATORY,MOTHER
NEW SAN SALVADOR,CULIACAN,64,14000,TRANSIT,RINCONADA,55,OAXACA,ANALYST,9600,HIGH SCHOOL,OTHER,OTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,29,5000,EMPLOYEE,MIGUEL HIDALGO,28,XALAPA-ENRIQUEZ,TEACHER,5500,PROFESSIONAL,PROFESSIONAL,DAD
THE MILLS,HUEYAPAN DE OCAMPO,52,3400,COMMERCIAL,THE HANDLE,52,CARDENAS TABASCO,AUDITOR,3440,HIGH SCHOOL,OTHER,MOTHER
XALAPA-ENRIQUEZ,TLACOLULAN,55,6000,DECORATOR,ALTOTONGA,50,XALAPA-ENRIQUEZ,BUSINESSMAN,3000,PRIMARY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,5000,EMPLOYEE,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,1470,EMPLOYEE,THE CHOAPAS,37,XALAPA-ENRIQUEZ,EMPLOYEE,2500,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,31,8000,BUSINESSMAN,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,BUSINESSMAN,2500,PREPARATORY,HIGH SCHOOL,MOTHER
CARDEL,TECOLAPAN,71,5700,ASSISTANT,VARGAS,58,WATER STONE,MODEST,60000,OTHER,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,5000,EMPLOYEE,XALAPA-ENRIQUEZ,31,XALAPA-ENRIQUEZ,HOUSEWIFE,301740,PREPARATORY,PREPARATORY,MOTHER
VIEWPOINTS,ALTOTONGA,78,600,ANTHROPOLOGIST,XOCHIOTEPEC,38,PALMA SOLA,DOMESTIC EMPLOYEE,600,PREPARATORY,PRIMARY,DAD
EMILIO CARRANZA,TENAMPULCO,63,4200,SURGEON,TULA,52,TEPIC,LIC. IN NUTRITION,15,WITHOUT SCHOOLING,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,CORZAR,43,16000,DOCTOR,FARFAN LAGOON,46,XALAPA-ENRIQUEZ,HOUSEWIFE,1300,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,TEZIUTLAN,29,8200,EMPLOYEE,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,ADMINISTRATIVE,11000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,66,200000,BUSINESSMAN,XALAPA-ENRIQUEZ,62,XALAPA-ENRIQUEZ,HOME DUTIES,3500,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,44,1400,EMPLOYEE,TLACOLULAN,39,XALAPA-ENRIQUEZ,BUSINESSMAN,1600,PRIMARY,PRIMARY,MOTHER
ACAYUCAN,VICENTE BEACH,36,7600,DRIVER,SAN GABRIEL CHILAC,63,BEAUTIFUL VILLA,CIVIL SERVANT,850,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,48,3000,EMPLOYEE,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,SECRETARY,5000,HIGH SCHOOL,PREPARATORY,MOTHER
CHETULAM,WALNUTS,43,12600,SUPERVISOR,TANCOCHAPA,41,GUTIERREZ ZAMORA,PUBLIC SERVER,75000,OTHER,HIGH SCHOOL,DAD
FEDERAL DISTRICT,XALAPA - ENRIQUEZ,27,50000,DOCTOR,XALAPA-ENRIQUEZ,27,FEDERAL DISTRICT,DOCTOR,6800,HIGH SCHOOL,PREPARATORY,DAD
WHITE LAND,VICENTE ACATLAN,91,120000,SYSTEM TECHNIQUE,SAINT ANA,65,TLALIXCOYAN,SECRETARY,18188,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,30000,GRAPHIC DESIGNER,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,GRAPHIC DESIGNER,30000,PROFESSIONAL,PROFESSIONAL,MOTHER
COSCOMATEPEC,BARRANCA GRANDE,41,8500,PHILHARMONIC,PIJIJIAPAN,65,VILORIA,RECEPTIONIST,12,PROFESSIONAL,PRIMARY,OTHER
MANDEVILLE,SALINA CRUZ,71,5400,AGRONOMIST,SAO PAULO,74,COLIMA,LIC. IN EDUCATION,90000,WITHOUT SCHOOLING,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,54,6000,WAITER,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,LAWYER,9500,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,SAINT JOSEPH,59,2200,PHOTOGRAPHER,XALAPA-ENRIQUEZ,54,NAUCALPAN,HOUSEWIFE,700,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,48,10000,ATTORNEY,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,CHEMISTRY,8000,PROFESSIONAL,PROFESSIONAL,DAD
TEZIUTLAN,SIHUAPAN,68,30000,CARRIER,THE MINES,20,SOLIDARITY,DOCTOR,5105,PROFESSIONAL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,SALVADOR DIAZ MIRON,42,72000,COMMUNICOLOGIST,LAGOON OF THE,58,XALAPA-ENRIQUEZ,CONSULTANT,1500,HIGH SCHOOL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,42,5000,TEACHER,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,ENGINEER,6000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,7400,EMPLOYEE,TLACOTALPAN,33,XALAPA-ENRIQUEZ,EMPLOYEE,6500,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,4000,EMPLOYEE,COVE,28,XALAPA-ENRIQUEZ,EMPLOYEE,3440,PREPARATORY,HIGH SCHOOL,MOTHER
SAN HIPOLITO,MAZATEPEC,21,4200,ENPLEADO,JUANA MOZA,54,ACCEPT,GRAPHIC DESIGNER,4100,PREPARATORY,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,BUT,41,15000,ARCHITECT,SAN ANDRES TUXTLA,36,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PROFESSIONAL,PROFESSIONAL,MOTHER
RICH POOL,COATEOEC,27,84000,WAITER,ESCOLIN,31,CARMEN CITY,HOME DUTIES,11500,WITHOUT SCHOOLING,WITHOUT SCHOOLING,OTHER
XALAPA-ENRIQUEZ,HUATUSCO,38,8600,ING. AGRONOMIST,FEDERAL DISTRICT,29,XALAPA-ENRIQUEZ,VIGILANT,10200,PROFESSIONAL,PROFESSIONAL,OTHER
SEBASTIAN TUXTLA,BONNET,57,5300,EMPLOYEE SAFETY,ISLAND OF BIRDS,69,BANDERILLA,EXECUTIVE SECRETARY,5150,OTHER,WITHOUT SCHOOLING,MOTHER
XALAPA-ENRIQUEZ,ISLAMAPITA,29,15900,NURSE,XALAPA-ENRIQUEZ,26,XALAPA-ENRIQUEZ,EMPLOYEE,2700,PREPARATORY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,PROGRESS,51,1000,ALBAÑIL,SAN JOSE BUENA VISTA,42,XALAPA-ENRIQUEZ,HOME DUTIES,1800,PRIMARY,PRIMARY,MOTHER
WHITE LAND,SANTIAGO ACOZAC,41,27000,PUBLIC EMPLOYEE,SPINAL,72,ACATLAN,HOME DUTIES,2900,PROFESSIONAL,PRIMARY,OTHER
STEP LIMON,TEOPANCAHUATL,19,5000,TAILOR,CERRO COLORADO,50,CUAUTITLAN IZCALLI,PSYCHOTHERAPIST,19500,WITHOUT SCHOOLING,PREPARATORY,MOTHER
BUT,NEW POTRERO,60,7000,BUSINESSMAN,XALAPA-ENRIQUEZ,57,XALAPA-ENRIQUEZ,BUSINESSMAN,4000,PROFESSIONAL,HIGH SCHOOL,OTHER
JILOTEPEC,TEOPANCAHUATL,70,1300,PHOTOGRAPHER,JUAN DIAZ COVARRUBIAS,38,THE BOY,LIC. BUSINESS ADMINISTRATION,300,HIGH SCHOOL,PRIMARY,DAD
THE ESTANZUELA,XALAPA - ENRIQUEZ,44,6000,PENSIONER,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,HOUSEWIFE,4550,PREPARATORY,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,HAVANA,44,5000,EMPLOYEE,XALAPA-ENRIQUEZ,54,XALAPA-ENRIQUEZ,EMPLOYEE,45000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,38,20000,EMPLOYEE,XALAPA-ENRIQUEZ,39,XALAPA-ENRIQUEZ,EMPLOYEE,20000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,48,1800,EMPLOYEE,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,HOUSEWIFE,6800,PREPARATORY,WITHOUT SCHOOLING,MOTHER
IZTACCZIHUATL REFORM,ROYAL GOLD,36,5300,MECHANICAL,THE MERINGUE,73,FORT,HOUSEWORK,28000,HIGH SCHOOL,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,27,5400,PHARMACIST,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,LIC. IN RIGHT,6890,HIGH SCHOOL,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,30,4800,EMPLOYEE,FEDERAL DISTRICT,27,XALAPA-ENRIQUEZ,HOUSEWIFE,2300,HIGH SCHOOL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,4500,EMPLOYEE,XALAPA-ENRIQUEZ,31,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,DAD
RAFAEL LUCIO,MATEHUALA,54,2300,LIC. IN RIGHT,CUICHAPA,20,PEACE,WAITRESS,300,OTHER,HIGH SCHOOL,DAD
REEDBED,HOT WATER,34,9600,TINSMITH,COATZINTLA,84,EMILIANO ZAPATA,CABBIE,4826,PROFESSIONAL,PROFESSIONAL,MOTHER
PUEBLA,THE RUBI,76,3620,RANCHER,TONALA,40,CHILTOYAC,DRIVER,4100,OTHER,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,48,5000,EMPLOYEE,XALAPA-ENRIQUEZ,44,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,JUAN DIAZ COVARRUBIAS,38,4000,ATTORNEY,VERACRUZ,37,XALAPA-ENRIQUEZ,PUBLIC ACCOUNTANT,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,3600,CABINETMAKER,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,EMPLOYEE,2400,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
COATEPEC,JALCOMULCO,47,1600,ACCOUNTING ASSISTANT,PORTLAND,67,TEOCELUS,PUERICULTUR,12,PRIMARY,HIGH SCHOOL,MOTHER
VILLAFLORES,MACUSPANA,65,13400,SHEPHERD,ACCEPT,40,OLD PACHO,ANESTHESIOLOGY,9800,PREPARATORY,PREPARATORY,OTHER
REEDBED,TUXTEPEC,57,3800,DESIGNER,MAXIMINO AVILA CAMACHO,58,SAN RAFAEL,GENERAL DOCTOR,1600,PROFESSIONAL,WITHOUT SCHOOLING,OTHER
CARDEL,LUCAS MARTIN,20,563218,NUTRIOLOGIST,JUAN DIAZ COVARRUBIAS,27,THE TREASURE,TECHNICAL,2100,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,MARTINEZ DE LA TORRE,38,7200,BUSINESSMAN,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,HOME DUTIES,16000,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,ZACATAL,33,3000,EMPLOYEE,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,PROFESSOR,4000,PRIMARY,PROFESSIONAL,DAD
